table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,ぎぼし,205_01,,
stops,stop_name,ja-Hrkt,ぎぼし,205_02,,
stops,stop_name,ja-Hrkt,しもわだ,206_01,,
stops,stop_name,ja-Hrkt,しもわだ,206_02,,
stops,stop_name,ja-Hrkt,わだまちゆうびんきょく,207_01,,
stops,stop_name,ja-Hrkt,わだまちゆうびんきょく,207_02,,
stops,stop_name,ja-Hrkt,わだ,208_01,,
stops,stop_name,ja-Hrkt,わだ,208_02,,
stops,stop_name,ja-Hrkt,かんのんじぐち,209_01,,
stops,stop_name,ja-Hrkt,かんのんじぐち,209_02,,
stops,stop_name,ja-Hrkt,との,210_01,,
stops,stop_name,ja-Hrkt,との,210_02,,
stops,stop_name,ja-Hrkt,わだはしば,211_01,,
stops,stop_name,ja-Hrkt,わだはしば,211_02,,
stops,stop_name,ja-Hrkt,りんくうこうぎょうだんち,212_01,,
stops,stop_name,ja-Hrkt,りんくうこうぎょうだんち,212_02,,
stops,stop_name,ja-Hrkt,あいしてぃにじゅういちまえ,213_01,,
stops,stop_name,ja-Hrkt,あいしてぃにじゅういちまえ,213_02,,
stops,stop_name,ja-Hrkt,たけだはら,214_01,,
stops,stop_name,ja-Hrkt,たけだはら,214_02,,
stops,stop_name,ja-Hrkt,しもたけだ,215_01,,
stops,stop_name,ja-Hrkt,しもたけだ,215_02,,
stops,stop_name,ja-Hrkt,たけだ,216_01,,
stops,stop_name,ja-Hrkt,たけだ,216_02,,
stops,stop_name,ja-Hrkt,きねんひまえ,217_01,,
stops,stop_name,ja-Hrkt,きねんひまえ,217_02,,
stops,stop_name,ja-Hrkt,やまがたむらやくば,218_01,,
stops,stop_name,ja-Hrkt,やまがたむらやくば,218_02,,
stops,stop_name,ja-Hrkt,やまがたがっこうまえ,219_01,,
stops,stop_name,ja-Hrkt,やまがたがっこうまえ,219_02,,
stops,stop_name,ja-Hrkt,おさかぐちくみあいまえ,220_01,,
stops,stop_name,ja-Hrkt,おさかぐちくみあいまえ,220_02,,
stops,stop_name,ja-Hrkt,やまがたしんりょうじょまえ,221_01,,
stops,stop_name,ja-Hrkt,やまがたしんりょうじょまえ,221_02,,
stops,stop_name,ja-Hrkt,なかおおいけ,222_01,,
stops,stop_name,ja-Hrkt,なかおおいけ,222_02,,
stops,stop_name,ja-Hrkt,かみおおいけ,223_01,,
stops,stop_name,ja-Hrkt,かみおおいけ,223_02,,
stops,stop_name,ja-Hrkt,しゃこまえ,224_01,,
stops,stop_name,ja-Hrkt,しゃこまえ,224_02,,
stops,stop_name,ja-Hrkt,おおはしどおりみなみ,225_01,,
stops,stop_name,ja-Hrkt,おおはしどおりみなみ,225_02,,
stops,stop_name,ja-Hrkt,ひがしまち,226_02,,
stops,stop_name,ja-Hrkt,しおやこうじいりぐち,227_01,,
stops,stop_name,ja-Hrkt,しおやこうじいりぐち,227_02,,
stops,stop_name,ja-Hrkt,かみうまだし,228_01,,
stops,stop_name,ja-Hrkt,かみうまだし,228_02,,
stops,stop_name,ja-Hrkt,いずみちょう,229_01,,
stops,stop_name,ja-Hrkt,いずみちょう,229_02,,
stops,stop_name,ja-Hrkt,にしおかだ,230_01,,
stops,stop_name,ja-Hrkt,にしおかだ,230_02,,
stops,stop_name,ja-Hrkt,おかだしんどう,231_01,,
stops,stop_name,ja-Hrkt,おかだしんどう,231_02,,
stops,stop_name,ja-Hrkt,ろくすけ,232_01,,
stops,stop_name,ja-Hrkt,ろくすけ,232_02,,
stops,stop_name,ja-Hrkt,しんでん,233_01,,
stops,stop_name,ja-Hrkt,しんでん,233_02,,
stops,stop_name,ja-Hrkt,あづち,234_01,,
stops,stop_name,ja-Hrkt,あづち,234_02,,
stops,stop_name,ja-Hrkt,からもも,235_01,,
stops,stop_name,ja-Hrkt,からもも,235_02,,
stops,stop_name,ja-Hrkt,みついし,236_01,,
stops,stop_name,ja-Hrkt,みついし,236_02,,
stops,stop_name,ja-Hrkt,おおぐちさわ,237_01,,
stops,stop_name,ja-Hrkt,おおぐちさわ,237_02,,
stops,stop_name,ja-Hrkt,なかたに,238_01,,
stops,stop_name,ja-Hrkt,なかたに,238_02,,
stops,stop_name,ja-Hrkt,かりやはら,239_01,,
stops,stop_name,ja-Hrkt,かりやはら,239_02,,
stops,stop_name,ja-Hrkt,やむろ,240_01,,
stops,stop_name,ja-Hrkt,やむろ,240_02,,
stops,stop_name,ja-Hrkt,やむろ,240_03,,
stops,stop_name,ja-Hrkt,やむろ,240_04,,
stops,stop_name,ja-Hrkt,かせきかん,241_01,,
stops,stop_name,ja-Hrkt,だいもん,242_01,,
stops,stop_name,ja-Hrkt,だいもん,242_02,,
stops,stop_name,ja-Hrkt,そりまちのうきょうまえ,243_01,,
stops,stop_name,ja-Hrkt,そりまちのうきょうまえ,243_02,,
stops,stop_name,ja-Hrkt,あぶらざか,244_01,,
stops,stop_name,ja-Hrkt,あぶらざか,244_02,,
stops,stop_name,ja-Hrkt,さわや,245_01,,
stops,stop_name,ja-Hrkt,さわや,245_02,,
stops,stop_name,ja-Hrkt,いたば,246_01,,
stops,stop_name,ja-Hrkt,いたば,246_02,,
stops,stop_name,ja-Hrkt,じょううんじした,247_01,,
stops,stop_name,ja-Hrkt,じょううんじした,247_02,,
stops,stop_name,ja-Hrkt,やなぎやまえ,248_01,,
stops,stop_name,ja-Hrkt,やなぎやまえ,248_02,,
stops,stop_name,ja-Hrkt,しがししょ,249_01,,
stops,stop_name,ja-Hrkt,ほうふくじしもまち,250_01,,
stops,stop_name,ja-Hrkt,ほうふくじぐち,251_01,,
stops,stop_name,ja-Hrkt,けみ,252_01,,
stops,stop_name,ja-Hrkt,とののいり,253_01,,
stops,stop_name,ja-Hrkt,みやまえ,254_01,,
stops,stop_name,ja-Hrkt,あかんたくみあいまえ,255_01,,
stops,stop_name,ja-Hrkt,あかんた,256_01,,
stops,stop_name,ja-Hrkt,こせ,257_01,,
stops,stop_name,ja-Hrkt,ふくじゅそうこうえんまえ,258_01,,
stops,stop_name,ja-Hrkt,にしきべ,259_01,,
stops,stop_name,ja-Hrkt,みさやま,260_01,,
stops,stop_name,ja-Hrkt,みさやま,260_02,,
stops,stop_name,ja-Hrkt,みさやまとんねるひがし,261_02,,
stops,stop_name,ja-Hrkt,かけゆしゃこ,262_01,,
stops,stop_name,ja-Hrkt,かけゆしゃこ,262_02,,
stops,stop_name,ja-Hrkt,かけゆおんせんかみ,263_02,,
stops,stop_name,ja-Hrkt,かけゆおんせん,264_02,,
stops,stop_name,ja-Hrkt,かけゆびょういんまえ,265_02,,
stops,stop_name,ja-Hrkt,かけゆばし,266_02,,
stops,stop_name,ja-Hrkt,かけゆおんせんいりぐち,267_02,,
stops,stop_name,ja-Hrkt,こくぶちょうみなみ,268_01,,
stops,stop_name,ja-Hrkt,こくぶちょうみなみ,268_02,,
stops,stop_name,ja-Hrkt,さかえちょう,269_01,,
stops,stop_name,ja-Hrkt,あいそめちょう,270_01,,
stops,stop_name,ja-Hrkt,ばくろまち,271_02,,
stops,stop_name,ja-Hrkt,みなみしんまち,272_02,,
stops,stop_name,ja-Hrkt,しょうないちょう,273_01,,
stops,stop_name,ja-Hrkt,しょうないちょう,273_02,,
stops,stop_name,ja-Hrkt,とよだばし,274_02,,
stops,stop_name,ja-Hrkt,やなぎばし,275_01,,
stops,stop_name,ja-Hrkt,いでがわきょくまえ,276_01,,
stops,stop_name,ja-Hrkt,いでがわきょくまえ,276_02,,
stops,stop_name,ja-Hrkt,いでがわ,277_01,,
stops,stop_name,ja-Hrkt,いでがわ,277_02,,
stops,stop_name,ja-Hrkt,なみやなぎぐち,278_02,,
stops,stop_name,ja-Hrkt,みなみいでがわ,279_01,,
stops,stop_name,ja-Hrkt,みなみいでがわ,279_02,,
stops,stop_name,ja-Hrkt,ことぶきばし,280_01,,
stops,stop_name,ja-Hrkt,ことぶきばし,280_02,,
stops,stop_name,ja-Hrkt,たけぶちばしひがし,281_01,,
stops,stop_name,ja-Hrkt,たけぶちばしひがし,281_02,,
stops,stop_name,ja-Hrkt,たけぶち,282_01,,
stops,stop_name,ja-Hrkt,たけぶち,282_02,,
stops,stop_name,ja-Hrkt,にしはら,283_01,,
stops,stop_name,ja-Hrkt,にしはら,283_02,,
stops,stop_name,ja-Hrkt,くらたびょういんまえ,284_01,,
stops,stop_name,ja-Hrkt,くらたびょういんまえ,284_02,,
stops,stop_name,ja-Hrkt,よこうち,285_01,,
stops,stop_name,ja-Hrkt,よこうち,285_02,,
stops,stop_name,ja-Hrkt,しらかわ,286_01,,
stops,stop_name,ja-Hrkt,しらかわ,286_02,,
stops,stop_name,ja-Hrkt,しらかわひがし,287_01,,
stops,stop_name,ja-Hrkt,しらかわひがし,287_02,,
stops,stop_name,ja-Hrkt,ことぶきだいひがしぐち,288_01,,
stops,stop_name,ja-Hrkt,ことぶきだいひがしぐち,288_02,,
stops,stop_name,ja-Hrkt,ことぶきだい,289_01,,
stops,stop_name,ja-Hrkt,ことぶきだい,289_02,,
stops,stop_name,ja-Hrkt,ことぶきだいにしぐち,290_01,,
stops,stop_name,ja-Hrkt,ことぶきだいにしぐち,290_02,,
stops,stop_name,ja-Hrkt,こいけささらのさといりぐち,291_01,,
stops,stop_name,ja-Hrkt,こいけささらのさといりぐち,291_02,,
stops,stop_name,ja-Hrkt,こいけよつかど,292_01,,
stops,stop_name,ja-Hrkt,こいけよつかど,292_02,,
stops,stop_name,ja-Hrkt,たがわばし,293_01,,
stops,stop_name,ja-Hrkt,たがわばし,293_02,,
stops,stop_name,ja-Hrkt,まつもといりょうせんたーまえ,294_01,,
stops,stop_name,ja-Hrkt,まつもといりょうせんたーまえ,294_02,,
stops,stop_name,ja-Hrkt,むらいえき,295_01,,
stops,stop_name,ja-Hrkt,まつばらみなみ,296_01,,
stops,stop_name,ja-Hrkt,まつばらみなみ,296_02,,
stops,stop_name,ja-Hrkt,ことぶきだいしえんがっこうきた,297_01,,
stops,stop_name,ja-Hrkt,たなみね,298_01,,
stops,stop_name,ja-Hrkt,しょうほうまえ/ほてるしょうほうまえ,299_01,,
stops,stop_name,ja-Hrkt,うつくしがはらおんせん,300_01,,
stops,stop_name,ja-Hrkt,あさまおんせん,301_01,,
stops,stop_name,ja-Hrkt,なかあさま,302_01,,
stops,stop_name,ja-Hrkt,あさまおんせんぶんかせんたーまえ,303_01,,
stops,stop_name,ja-Hrkt,ゆざか,304_02,,
stops,stop_name,ja-Hrkt,ほっとぷらざあさままえ,305_02,,
stops,stop_name,ja-Hrkt,したあさまひろば,306_02,,
stops,stop_name,ja-Hrkt,したあさま,307_02,,
stops,stop_name,ja-Hrkt,しんめいちゅうがっこう,308_01,,
stops,stop_name,ja-Hrkt,しんめいちゅうがっこう,308_02,,
stops,stop_name,ja-Hrkt,おおくぼこうじょうこうえん,309_01,,
stops,stop_name,ja-Hrkt,おおくぼこうじょうこうえん,309_02,,
stops,stop_name,ja-Hrkt,かんりかいかん,310_01,,
stops,stop_name,ja-Hrkt,めいぜんがっこう,311_01,,
stops,stop_name,ja-Hrkt,めいぜんがっこう,311_02,,
stops,stop_name,ja-Hrkt,ごふくじぐち,312_01,,
stops,stop_name,ja-Hrkt,ごふくじぐち,312_02,,
stops,stop_name,ja-Hrkt,ばばけじゅうたくひがし,313_01,,
stops,stop_name,ja-Hrkt,ばばけじゅうたくひがし,313_02,,
stops,stop_name,ja-Hrkt,うちだしゅっちょうじょまえ,314_01,,
stops,stop_name,ja-Hrkt,うちだしゅっちょうじょまえ,314_02,,
stops,stop_name,ja-Hrkt,がけのゆぐち,315_01,,
stops,stop_name,ja-Hrkt,がけのゆぐち,315_02,,
stops,stop_name,ja-Hrkt,くらむら,316_01,,
stops,stop_name,ja-Hrkt,よしちょう,317_01,,
stops,stop_name,ja-Hrkt,よしちょう,317_02,,
stops,stop_name,ja-Hrkt,さくらまち,318_01,,
stops,stop_name,ja-Hrkt,さくらまち,318_02,,
stops,stop_name,ja-Hrkt,ゆがわちょう,319_01,,
stops,stop_name,ja-Hrkt,ゆがわちょう,319_02,,
stops,stop_name,ja-Hrkt,しみずちゅうがっこうまえ,320_01,,
stops,stop_name,ja-Hrkt,しみずちゅうがっこうまえ,320_02,,
stops,stop_name,ja-Hrkt,しみずひがしく,321_01,,
stops,stop_name,ja-Hrkt,しみずひがしく,321_02,,
stops,stop_name,ja-Hrkt,そうざ,322_01,,
stops,stop_name,ja-Hrkt,そうざ,322_02,,
stops,stop_name,ja-Hrkt,まつもとみんげいかん,323_01,,
stops,stop_name,ja-Hrkt,まつもとみんげいかん,323_02,,
stops,stop_name,ja-Hrkt,あらいぐち,324_01,,
