fare_id,route_id,origin_id,destination_id
170,21,217_01,219_01
170,21,217_01,220_01
170,21,217_01,221_01
170,21,217_02,213_02
170,21,217_02,214_02
170,21,217_02,215_02
170,21,217_02,216_02
170,21,218_01,219_01
170,21,218_01,220_01
170,21,218_01,221_01
170,21,218_01,222_01
170,21,218_02,217_02
170,21,219_01,220_01
170,21,219_01,221_01
170,21,219_01,222_01
170,21,219_02,217_02
170,21,219_02,218_02
170,21,220_01,221_01
170,21,220_01,222_01
170,21,220_02,217_02
170,21,220_02,218_02
170,21,220_02,219_02
170,21,221_01,222_01
170,21,221_02,217_02
170,21,221_02,218_02
170,21,221_02,219_02
170,21,221_02,220_02
170,21,222_01,223_01
170,21,222_01,224_01
170,21,222_02,218_02
170,21,222_02,219_02
170,21,222_02,220_02
170,21,222_02,221_02
170,21,223_01,224_01
170,21,223_02,222_02
170,21,224_02,222_02
170,21,224_02,223_02
170,22,279_01,280_01
170,22,279_01,281_01
170,22,279_01,282_01
170,22,280_01,281_01
170,22,280_01,282_01
170,22,280_02,279_02
170,22,281_01,282_01
170,22,281_01,283_01
170,22,281_01,284_01
170,22,281_01,285_01
170,22,281_01,368_01
170,22,281_02,279_02
170,22,281_02,280_02
170,22,282_01,283_01
170,22,282_01,284_01
170,22,282_01,285_01
170,22,282_01,368_01
170,22,282_02,279_02
170,22,282_02,280_02
170,22,282_02,281_02
170,22,283_01,284_01
170,22,283_01,285_01
170,22,283_02,281_02
170,22,283_02,282_02
170,22,283_02,368_02
170,22,284_01,285_01
170,22,284_02,281_02
170,22,284_02,282_02
170,22,284_02,283_02
170,22,284_02,368_02
170,22,285_01,286_01
170,22,285_01,287_01
170,22,285_02,281_02
170,22,285_02,282_02
170,22,285_02,283_02
170,22,285_02,284_02
170,22,285_02,368_02
170,22,286_01,287_01
170,22,286_02,285_02
170,22,287_01,288_01
170,22,287_01,289_01
170,22,287_01,290_01
170,22,287_01,291_01
170,22,287_01,292_01
170,22,287_02,285_02
170,22,287_02,286_02
170,22,288_01,289_01
170,22,288_01,290_01
170,22,288_01,291_01
170,22,288_01,292_01
170,22,288_02,287_02
170,22,289_01,290_01
170,22,289_01,291_01
170,22,289_01,292_01
170,22,289_02,287_02
170,22,289_02,288_02
170,22,290_01,291_01
170,22,290_01,292_01
170,22,290_02,287_02
170,22,290_02,288_02
170,22,290_02,289_02
170,22,291_01,292_01
170,22,291_02,287_02
170,22,291_02,288_02
170,22,291_02,289_02
170,22,291_02,290_02
170,22,292_01,293_01
170,22,292_01,294_01
170,22,292_01,295_01
170,22,292_02,287_02
170,22,292_02,288_02
170,22,292_02,289_02
170,22,292_02,290_02
170,22,292_02,291_02
170,22,293_01,294_01
170,22,293_01,295_01
170,22,293_02,292_02
170,22,294_01,295_01
170,22,294_02,292_02
170,22,294_02,293_02
170,22,295_01,292_02
170,22,295_01,293_02
170,22,295_01,294_02
170,22,368_01,283_01
170,22,368_01,284_01
170,22,368_01,285_01
170,22,368_02,281_02
170,22,368_02,282_02
170,23,279_01,280_01
170,23,279_01,281_01
170,23,279_01,282_01
170,23,280_01,281_01
170,23,280_01,282_01
170,23,280_02,279_02
170,23,281_01,282_01
170,23,281_01,283_01
170,23,281_01,284_01
170,23,281_01,285_01
170,23,281_01,368_01
170,23,281_02,279_02
170,23,281_02,280_02
170,23,282_01,283_01
170,23,282_01,284_01
170,23,282_01,285_01
170,23,282_01,368_01
170,23,282_02,279_02
170,23,282_02,280_02
170,23,282_02,281_02
170,23,283_01,284_01
170,23,283_01,285_01
170,23,283_02,281_02
170,23,283_02,282_02
170,23,283_02,368_02
170,23,284_01,285_01
170,23,284_02,281_02
170,23,284_02,282_02
170,23,284_02,283_02
170,23,284_02,368_02
170,23,285_01,286_01
170,23,285_01,287_01
170,23,285_02,281_02
170,23,285_02,282_02
170,23,285_02,283_02
170,23,285_02,284_02
170,23,285_02,368_02
170,23,286_01,287_01
170,23,286_02,285_02
170,23,287_01,288_01
170,23,287_01,296_01
170,23,287_01,297_01
170,23,287_01,298_01
170,23,287_02,285_02
170,23,287_02,286_02
170,23,288_01,296_01
170,23,288_01,297_01
170,23,288_01,298_01
170,23,288_02,287_02
170,23,296_01,297_01
170,23,296_01,298_01
170,23,296_02,287_02
170,23,296_02,288_02
170,23,297_01,287_02
170,23,297_01,288_02
170,23,297_01,296_02
170,23,297_01,298_01
170,23,298_01,287_02
170,23,298_01,288_02
170,23,298_01,296_02
170,23,298_01,297_01
170,23,368_01,283_01
170,23,368_01,284_01
170,23,368_01,285_01
170,23,368_02,281_02
170,23,368_02,282_02
170,24,279_01,280_01
170,24,279_01,281_01
170,24,279_01,282_01
170,24,280_01,281_01
170,24,280_01,282_01
170,24,280_02,279_02
170,24,281_01,282_01
170,24,281_01,283_01
170,24,281_01,284_01
170,24,281_01,285_01
170,24,281_01,368_01
170,24,281_02,279_02
170,24,281_02,280_02
170,24,282_01,283_01
170,24,282_01,284_01
170,24,282_01,285_01
170,24,282_01,368_01
170,24,282_02,279_02
170,24,282_02,280_02
170,24,282_02,281_02
170,24,283_01,284_01
170,24,283_01,285_01
170,24,283_02,281_02
170,24,283_02,282_02
170,24,283_02,368_02
170,24,284_01,285_01
170,24,284_02,281_02
170,24,284_02,282_02
170,24,284_02,283_02
170,24,284_02,368_02
170,24,285_01,286_01
170,24,285_01,287_01
170,24,285_02,281_02
170,24,285_02,282_02
170,24,285_02,283_02
170,24,285_02,284_02
170,24,285_02,368_02
170,24,286_01,287_01
170,24,286_02,285_02
170,24,287_01,288_01
170,24,287_01,311_01
170,24,287_01,312_01
170,24,287_01,351_01
170,24,287_02,285_02
170,24,287_02,286_02
170,24,288_01,311_01
170,24,288_01,312_01
170,24,288_01,351_01
170,24,288_02,287_02
170,24,311_01,312_01
170,24,311_02,287_02
170,24,311_02,288_02
170,24,311_02,351_02
170,24,312_01,313_01
170,24,312_01,314_01
170,24,312_01,315_01
170,24,312_01,316_01
170,24,312_02,287_02
170,24,312_02,288_02
170,24,312_02,311_02
170,24,312_02,351_02
170,24,313_01,314_01
170,24,313_01,315_01
170,24,313_01,316_01
170,24,313_02,312_02
170,24,314_01,315_01
170,24,314_01,316_01
170,24,314_02,312_02
170,24,314_02,313_02
170,24,315_01,316_01
170,24,315_02,312_02
170,24,315_02,313_02
170,24,315_02,314_02
170,24,316_01,312_02
170,24,316_01,313_02
170,24,316_01,314_02
170,24,316_01,315_02
170,24,351_01,311_01
170,24,351_01,312_01
170,24,351_02,287_02
170,24,351_02,288_02
170,24,368_01,283_01
170,24,368_01,284_01
170,24,368_01,285_01
170,24,368_02,281_02
